Time t / s,Events N,Channel n,Energy E / keV
0,0,0,-1.3277906976744
1.001,0,1,-1.12211627906975
2.001,0,2,-0.916441860465103
3,0,3,-0.710767441860451
4,0,4,-0.5050930232558
5,0,5,-0.299418604651152
6,0,6,-0.0937441860464965
7.001,0,7,0.111930232558151
8,1,8,0.317604651162803
9,0,9,0.523279069767455
10.001,0,10,0.728953488372106
11,0,11,0.934627906976758
12,0,12,1.14030232558141
13,0,13,1.34597674418606
14,0,14,1.55165116279071
15.001,0,15,1.75732558139536
16,0,16,1.96300000000001
17,0,17,2.16867441860466
18,0,18,2.37434883720931
19,0,19,2.58002325581396
20.001,0,20,2.78569767441862
21,0,21,2.99137209302327
22,0,22,3.19704651162792
23,0,23,3.40272093023257
24,0,24,3.60839534883722
25.001,0,25,3.81406976744187
26,0,26,4.01974418604652
27,0,27,4.22541860465117
28,0,28,4.43109302325582
29,0,29,4.63676744186047
,0,30,4.84244186046513
,0,31,5.04811627906978
,0,32,5.25379069767443
,0,33,5.45946511627908
,0,34,5.66513953488373
,0,35,5.87081395348838
,0,36,6.07648837209303
,0,37,6.28216279069768
,0,38,6.48783720930233
,0,39,6.69351162790698
,0,40,6.89918604651164
,1,41,7.10486046511629
,0,42,7.31053488372094
,0,43,7.51620930232559
,0,44,7.72188372093024
,0,45,7.92755813953489
,1,46,8.13323255813954
,1,47,8.33890697674419
,1,48,8.54458139534884
,2,49,8.7502558139535
,2,50,8.95593023255815
,0,51,9.1616046511628
,2,52,9.36727906976745
,7,53,9.5729534883721
,5,54,9.77862790697675
,9,55,9.9843023255814
,8,56,10.1899767441861
,13,57,10.3956511627907
,7,58,10.6013255813954
,8,59,10.807
,10,60,11.0126744186047
,8,61,11.2183488372093
,7,62,11.424023255814
,8,63,11.6296976744186
,8,64,11.8353720930233
,12,65,12.0410465116279
,13,66,12.2467209302326
,11,67,12.4523953488372
,14,68,12.6580697674419
,16,69,12.8637441860465
,13,70,13.0694186046512
,15,71,13.2750930232558
,14,72,13.4807674418605
,16,73,13.6864418604651
,11,74,13.8921162790698
,13,75,14.0977906976744
,11,76,14.3034651162791
,9,77,14.5091395348837
,17,78,14.7148139534884
,12,79,14.920488372093
,12,80,15.1261627906977
,11,81,15.3318372093023
,9,82,15.537511627907
,15,83,15.7431860465116
,12,84,15.9488604651163
,6,85,16.1545348837209
,12,86,16.3602093023256
,11,87,16.5658837209302
,16,88,16.7715581395349
,11,89,16.9772325581395
,9,90,17.1829069767442
,14,91,17.3885813953488
,22,92,17.5942558139535
,16,93,17.7999302325581
,16,94,18.0056046511628
,18,95,18.2112790697674
,13,96,18.4169534883721
,13,97,18.6226279069767
,13,98,18.8283023255814
,30,99,19.033976744186
,12,100,19.2396511627907
,16,101,19.4453255813953
,14,102,19.651
,18,103,19.8566744186047
,17,104,20.0623488372093
,21,105,20.268023255814
,12,106,20.4736976744186
,13,107,20.6793720930233
,25,108,20.8850465116279
,19,109,21.0907209302326
,11,110,21.2963953488372
,18,111,21.5020697674419
,15,112,21.7077441860465
,25,113,21.9134186046512
,20,114,22.1190930232558
,15,115,22.3247674418605
,20,116,22.5304418604651
,17,117,22.7361162790698
,20,118,22.9417906976744
,20,119,23.1474651162791
,19,120,23.3531395348837
,18,121,23.5588139534884
,22,122,23.764488372093
,21,123,23.9701627906977
,27,124,24.1758372093023
,19,125,24.381511627907
