Time t / s,Events N,Channel n,Energy E / keV
0,0,0,-1.3277906976744
1,0,1,-1.27637209302324
2.001,0,2,-1.22495348837208
3,0,3,-1.17353488372092
4,0,4,-1.12211627906975
5,0,5,-1.07069767441859
6,0,6,-1.01927906976743
7,0,7,-0.967860465116264
8,0,8,-0.916441860465103
9,0,9,-0.865023255813941
10,0,10,-0.813604651162777
11,0,11,-0.762186046511616
12,0,12,-0.710767441860451
12.999,0,13,-0.65934883720929
14.001,0,14,-0.607930232558125
15.001,0,15,-0.556511627906964
16.001,0,16,-0.5050930232558
17,0,17,-0.453674418604635
18,0,18,-0.402255813953477
19,0,19,-0.350837209302313
20,0,20,-0.299418604651152
21.001,0,21,-0.247999999999987
22.001,0,22,-0.196581395348822
23,0,23,-0.145162790697661
24,0,24,-0.0937441860464965
25,0,25,-0.0423255813953389
26.001,0,26,0.00909302325582573
27.001,0,27,0.0605116279069904
28,0,28,0.111930232558151
29.001,0,29,0.163348837209316
30,0,30,0.214767441860477
31,1,31,0.266186046511642
32,0,32,0.317604651162803
33.001,0,33,0.369023255813968
34,0,34,0.420441860465129
35,0,35,0.47186046511629
36,1,36,0.523279069767455
37.001,0,37,0.574697674418616
38,3,38,0.62611627906978
39,3,39,0.677534883720945
40.001,3,40,0.728953488372106
41.001,8,41,0.780372093023267
42,8,42,0.831790697674428
43,12,43,0.883209302325593
44,19,44,0.934627906976758
45,18,45,0.986046511627919
46,33,46,1.03746511627908
47,38,47,1.08888372093024
48,49,48,1.14030232558141
49.001,46,49,1.19172093023257
50,58,50,1.24313953488373
51,75,51,1.2945581395349
52.001,84,52,1.34597674418606
53,110,53,1.39739534883722
54.001,76,54,1.44881395348838
54.999,103,55,1.50023255813955
56.001,130,56,1.55165116279071
57,112,57,1.60306976744187
58,94,58,1.65448837209303
59,126,59,1.7059069767442
60.001,82,60,1.75732558139536
61.001,89,61,1.80874418604652
62,105,62,1.86016279069769
63.001,105,63,1.91158139534885
64,113,64,1.96300000000001
65.001,82,65,2.01441860465118
66,100,66,2.06583720930234
67.001,83,67,2.1172558139535
68.001,81,68,2.16867441860466
69,89,69,2.22009302325583
70.001,88,70,2.27151162790699
70.999,86,71,2.32293023255815
72,106,72,2.37434883720931
72.999,89,73,2.42576744186048
74,91,74,2.47718604651164
75,91,75,2.5286046511628
76,89,76,2.58002325581396
77,63,77,2.63144186046513
78,81,78,2.68286046511629
79,77,79,2.73427906976745
80.001,63,80,2.78569767441862
81,84,81,2.83711627906978
82,78,82,2.88853488372094
83,87,83,2.9399534883721
84.001,72,84,2.99137209302327
85,72,85,3.04279069767443
