Time t / s,Events N,Channel n,Energy E / keV
0,0,0,-1.3277906976744
1,0,1,-1.27637209302324
2,0,2,-1.22495348837208
3,0,3,-1.17353488372092
4,0,4,-1.12211627906975
5.001,0,5,-1.07069767441859
6,0,6,-1.01927906976743
7,0,7,-0.967860465116264
8,0,8,-0.916441860465103
9,0,9,-0.865023255813941
10,0,10,-0.813604651162777
11,0,11,-0.762186046511616
12,0,12,-0.710767441860451
13.001,0,13,-0.65934883720929
14,0,14,-0.607930232558125
15,0,15,-0.556511627906964
16,0,16,-0.5050930232558
17.001,0,17,-0.453674418604635
17.999,0,18,-0.402255813953477
19,0,19,-0.350837209302313
20.001,0,20,-0.299418604651152
21,0,21,-0.247999999999987
22,0,22,-0.196581395348822
23,0,23,-0.145162790697661
24,0,24,-0.0937441860464965
25,0,25,-0.0423255813953389
26,0,26,0.00909302325582573
27.001,0,27,0.0605116279069904
28,0,28,0.111930232558151
29,0,29,0.163348837209316
30,0,30,0.214767441860477
31,0,31,0.266186046511642
32.001,0,32,0.317604651162803
33,0,33,0.369023255813968
34,0,34,0.420441860465129
35.001,0,35,0.47186046511629
36,0,36,0.523279069767455
37.001,0,37,0.574697674418616
38.001,0,38,0.62611627906978
39.001,0,39,0.677534883720945
40,0,40,0.728953488372106
41.001,0,41,0.780372093023267
42,0,42,0.831790697674428
43,0,43,0.883209302325593
44.001,0,44,0.934627906976758
45.001,0,45,0.986046511627919
46.001,0,46,1.03746511627908
47.001,0,47,1.08888372093024
48.001,0,48,1.14030232558141
49,0,49,1.19172093023257
50,0,50,1.24313953488373
51,0,51,1.2945581395349
52,0,52,1.34597674418606
53.001,0,53,1.39739534883722
54,0,54,1.44881395348838
55,0,55,1.50023255813955
56,0,56,1.55165116279071
57.001,0,57,1.60306976744187
58,0,58,1.65448837209303
59.001,0,59,1.7059069767442
60,0,60,1.75732558139536
61.001,0,61,1.80874418604652
62,0,62,1.86016279069769
63.001,0,63,1.91158139534885
64,0,64,1.96300000000001
65.001,0,65,2.01441860465118
66.001,0,66,2.06583720930234
67.001,0,67,2.1172558139535
68,0,68,2.16867441860466
69,0,69,2.22009302325583
70.001,0,70,2.27151162790699
71.001,0,71,2.32293023255815
72.001,0,72,2.37434883720931
73.001,0,73,2.42576744186048
74,0,74,2.47718604651164
75,0,75,2.5286046511628
76,0,76,2.58002325581396
77,0,77,2.63144186046513
78,0,78,2.68286046511629
79.001,0,79,2.73427906976745
80,0,80,2.78569767441862
81,0,81,2.83711627906978
82,0,82,2.88853488372094
83,0,83,2.9399534883721
84.001,0,84,2.99137209302327
85.001,0,85,3.04279069767443
